tray,pos,mother,father,simpleID,crossID,plantID,cross label,Germinated_200226,Plate 187,offspring_label,notes
1,1,1158_2,1158_2,H1 s1,H1.2 s1,H1.2 s1 - 1,,0,,,
1,2,1158_2,6024_5,H1 x L1,H1.2 x L1.5,H1.2 x L1.5 - 1,4,1,,,
1,3,6184_2,8249_1,H2 x L2,H2.2 x L2.1,H2.2 x L2.1 - 1,9,1,2E,F2.27,
1,4,8249_4,6024_5,L2 x L1,L2.4 x L1.5,L2.4 x L1.5 - 1,2,0,,F2.31,
1,5,8249_4,8249_4,L2 s1,L2.4 s1,L2.4 s1 - 1,,1,5B,S2.14,
1,6,6024_5,6024_5,L1 s1,L1.5 s1,L1.5 s1 - 1,,0,,,
1,7,6184_1,6184_1,H2 s1,H2.1 s1,H2.1 s1 - 1,,1,1H,S2.15,
1,8,8249_1,8249_1,L2 s1,L2.1 s1,L2.1 s1 - 1,,1,,,
1,9,6184_4,1158_2,H2 x H1,H2.4 x H1.2,H2.4 x H1.2 - 1,8,1,,,
1,10,6024_3,8249_4,L1 x L2,L1.3 x L2.4,L1.3 x L2.4 - 1,1,1,3H,F2.21,
1,11,1158_2,6184_1,H1 x H2,H1.2 x H2.1,H1.2 x H2.1 - 1,7,1,1A,F2.20,
1,12,6024_3,6024_3,L1 s1,L1.3 s1,L1.3 s1 - 1,,0,,,
1,13,6024_2,1158_2,L1 x H1,L1.2 x H1.2,L1.2 x H1.2 - 1,3,0,3G,F2.33,not flowered 26.6.2020
1,14,6024_2,6024_2,L1 s1,L1.2 s1,L1.2 s1 - 1,,0,,,
1,15,8249_4,6184_1,L2 x H2,L2.4 x H2.1,L2.4 x H2.1 - 1,6,1,5E,F2.24,
1,16,6184_2,6184_2,H2 s1,H2.2 s1,H2.2 s1 - 1,,1,,,
1,17,1158_2,6024_5,H1 x L1,H1.2 x L1.5,H1.2 x L1.5 - 2,4,1,,,
1,18,8249_1,8249_1,L2 s1,L2.1 s1,L2.1 s1 - 2,,1,,,
1,19,8249_4,6184_1,L2 x H2,L2.4 x H2.1,L2.4 x H2.1 - 2,6,1,5F,F2.25,
1,20,1158_2,1158_2,H1 s1,H1.2 s1,H1.2 s1 - 2,,0,,,
1,21,6184_2,6184_2,H2 s1,H2.2 s1,H2.2 s1 - 2,,1,2D,S2.16,
1,22,8249_4,8249_4,L2 s1,L2.4 s1,L2.4 s1 - 2,,1,5C,S2.17,
1,23,6184_2,8249_1,H2 x L2,H2.2 x L2.1,H2.2 x L2.1 - 2,9,1,2F,F2.23,
1,24,6024_5,6024_5,L1 s1,L1.5 s1,L1.5 s1 - 2,,0,,,
2,1,6024_2,1158_2,L1 x H1,L1.2 x H1.2,L1.2 x H1.2 - 2,3,0,,,
2,2,6184_1,6184_1,H2 s1,H2.1 s1,H2.1 s1 - 2,,1,,,
2,3,,,,,,8,1,,,
2,4,8249_4,6024_5,L2 x L1,L2.4 x L1.5,L2.4 x L1.5 - 2,2,1,6C,F2.07,
2,5,6024_3,8249_4,L1 x L2,L1.3 x L2.4,L1.3 x L2.4 - 2,1,1,4A,F2.04,tissue already red
2,6,1158_2,6184_1,H1 x H2,H1.2 x H2.1,H1.2 x H2.1 - 2,7,1,1B,F2.03,
2,7,6024_3,6024_3,L1 s1,L1.3 s1,L1.3 s1 - 2,,0,,,
2,8,6024_2,6024_2,L1 s1,L1.2 s1,L1.2 s1 - 2,,0,3D,S2.07,
2,9,6184_1,6184_1,H2 s1,H2.1 s1,H2.1 s1 - 3,,1,2A,S2.08,
2,10,6024_3,6024_3,L1 s1,L1.3 s1,L1.3 s1 - 3,,0,,,
2,11,,,,,,8,1,,,
2,12,6184_2,6184_2,H2 s1,H2.2 s1,H2.2 s1 - 3,,1,,,
2,13,1158_2,1158_2,H1 s1,H1.2 s1,H1.2 s1 - 3,,0,,,
2,14,8249_4,6184_1,L2 x H2,L2.4 x H2.1,L2.4 x H2.1 - 3,6,1,5G,F2.12,
2,15,1158_2,6184_1,H1 x H2,H1.2 x H2.1,H1.2 x H2.1 - 3,7,1,1C,F2.02,
2,16,6024_5,6024_5,L1 s1,L1.5 s1,L1.5 s1 - 3,,0,,,
2,17,6024_2,6024_2,L1 s1,L1.2 s1,L1.2 s1 - 3,,0,,,
2,18,8249_4,8249_4,L2 s1,L2.4 s1,L2.4 s1 - 3,,1,5D,S2.09,
2,19,,,,,,4,1,,,
2,20,6184_2,8249_1,H2 x L2,H2.2 x L2.1,H2.2 x L2.1 - 3,9,1,2G,F2.10,
2,21,8249_4,6024_5,L2 x L1,L2.4 x L1.5,L2.4 x L1.5 - 3,2,1,6D,F2.18,
2,22,8249_1,8249_1,L2 s1,L2.1 s1,L2.1 s1 - 3,,1,4G,S2.10,
2,23,6024_2,1158_2,L1 x H1,L1.2 x H1.2,L1.2 x H1.2 - 3,3,0,,,
2,24,6024_3,8249_4,L1 x L2,L1.3 x L2.4,L1.3 x L2.4 - 3,1,1,4C,F2.19,tissue already red
3,1,6024_2,6024_2,L1 s1,L1.2 s1,L1.2 s1 - 4,,0,3E,S2.05,
3,2,6024_2,1158_2,L1 x H1,L1.2 x H1.2,L1.2 x H1.2 - 4,3,0,,,
3,3,6184_2,6184_2,H2 s1,H2.2 s1,H2.2 s1 - 4,,1,2B,S2.02,
3,4,8249_4,6184_1,L2 x H2,L2.4 x H2.1,L2.4 x H2.1 - 4,6,1,5H,F2.17,
3,5,1158_2,6024_5,H1 x L1,H1.2 x L1.5,H1.2 x L1.5 - 3,4,1,1F,F2.16,
3,6,1158_2,1158_2,H1 s1,H1.2 s1,H1.2 s1 - 4,,0,,,
3,7,,,,,,,1,,,
3,8,6184_2,8249_1,H2 x L2,H2.2 x L2.1,H2.2 x L2.1 - 4,9,1,2H,F2.11,
3,9,1158_2,6184_1,H1 x H2,H1.2 x H2.1,H1.2 x H2.1 - 4,7,1,1D,F2.01,
3,10,6024_3,6024_3,L1 s1,L1.3 s1,L1.3 s1 - 4,,0,,,
3,11,6024_3,8249_4,L1 x L2,L1.3 x L2.4,L1.3 x L2.4 - 4,1,1,4B,F2.05,tissue already red
3,12,8249_4,8249_4,L2 s1,L2.4 s1,L2.4 s1 - 4,,1,,S2.04,
3,13,8249_1,8249_1,L2 s1,L2.1 s1,L2.1 s1 - 4,,1,,,
3,14,6024_5,6024_5,L1 s1,L1.5 s1,L1.5 s1 - 4,,0,4F,S2.01,
3,15,8249_4,6024_5,L2 x L1,L2.4 x L1.5,L2.4 x L1.5 - 4,2,1,6E,F2.08,
3,16,6184_1,6184_1,H2 s1,H2.1 s1,H2.1 s1 - 4,,1,1G,S2.03,
3,17,6024_3,8249_4,L1 x L2,L1.3 x L2.4,L1.3 x L2.4 - 5,1,0,4D,F2.06,
3,18,8249_4,6024_5,L2 x L1,L2.4 x L1.5,L2.4 x L1.5 - 5,2,1,6F,F2.09,
3,19,8249_4,8249_4,L2 s1,L2.4 s1,L2.4 s1 - 5,,1,,,
3,20,6024_2,1158_2,L1 x H1,L1.2 x H1.2,L1.2 x H1.2 - 5,3,0,,,
3,21,6184_2,6184_2,H2 s1,H2.2 s1,H2.2 s1 - 5,,1,,,
3,22,6024_2,6024_2,L1 s1,L1.2 s1,L1.2 s1 - 5,,0,3F,S2.06,
3,23,,,,,,,1,,,
3,24,6024_5,6024_5,L1 s1,L1.5 s1,L1.5 s1 - 5,,0,,,
4,1,8249_4,6184_1,L2 x H2,L2.4 x H2.1,L2.4 x H2.1 - 5,6,1,6A,F2.30,
4,2,1158_2,1158_2,H1 s1,H1.2 s1,H1.2 s1 - 5,,0,,,
4,3,,,,,,,1,,,
4,4,8249_1,8249_1,L2 s1,L2.1 s1,L2.1 s1 - 5,,1,4H,S2.11,
4,5,6184_2,8249_1,H2 x L2,H2.2 x L2.1,H2.2 x L2.1 - 5,9,1,3A,F2.28,
4,6,6024_3,6024_3,L1 s1,L1.3 s1,L1.3 s1 - 5,,0,,,
4,7,1158_2,6184_1,H1 x H2,H1.2 x H2.1,H1.2 x H2.1 - 5,7,1,1E,F2.36,
4,8,,,,,,,1,,,
4,9,8249_4,8249_4,L2 s1,L2.4 s1,L2.4 s1 - 6,,1,,,
4,10,1158_2,6024_5,H1 x L1,H1.2 x L1.5,H1.2 x L1.5 - 4,4,1,,,
4,11,1158_2,6184_1,H1 x H2,H1.2 x H2.1,H1.2 x H2.1 - 6,7,1,,F2.34,
4,12,6184_4,1158_2,H2 x H1,H2.4 x H1.2,H2.4 x H1.2 - 2,8,1,3C,F2.35,
4,13,1158_2,1158_2,H1 s1,H1.2 s1,H1.2 s1 - 6,,0,,,
4,14,8249_4,6024_5,L2 x L1,L2.4 x L1.5,L2.4 x L1.5 - 6,2,1,6G,F2.32,
4,15,6024_2,6024_2,L1 s1,L1.2 s1,L1.2 s1 - 6,,0,,,
4,16,8249_1,8249_1,L2 s1,L2.1 s1,L2.1 s1 - 6,,1,5A,S2.13,
4,17,6024_3,8249_4,L1 x L2,L1.3 x L2.4,L1.3 x L2.4 - 6,1,1,4E,F2.22,tissue already red
4,18,6024_5,6024_5,L1 s1,L1.5 s1,L1.5 s1 - 6,,0,,,
4,19,6184_2,6184_2,H2 s1,H2.2 s1,H2.2 s1 - 6,,1,2C,S2.12,
4,20,8249_4,6184_1,L2 x H2,L2.4 x H2.1,L2.4 x H2.1 - 6,6,1,6B,F2.29,
4,21,6024_3,6024_3,L1 s1,L1.3 s1,L1.3 s1 - 6,,0,,,
4,22,6184_1,6184_1,H2 s1,H2.1 s1,H2.1 s1 - 5,,1,,,
4,23,6024_2,1158_2,L1 x H1,L1.2 x H1.2,L1.2 x H1.2 - 6,3,0,,,
4,24,6184_2,8249_1,H2 x L2,H2.2 x L2.1,H2.2 x L2.1 - 6,9,1,3B,F2.26,
